,Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,legacy_gf3_code,SDN:P01::Alternative Name,comments,coverage_content_type,ioos_category,seabird_term
0,BIO,COND,BIO,mmHo,nan,nan,,nan,COND,Conductance,mS,,,,,Electrical Conductance,,,,,COND,,,,,Conductivity
1,BIO,CNTR,"BIO,IML,MEDS",none,nan,^CNTR_&#124;^Counter&#124;^scan number,,nan,ScanNumber,Scan Number,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,Other,
2,BIO,CNTR,"BIO,IML,MEDS",none,nan,^SNCNTR_&#124;Scans per Bin,,nan,RecPerBin,Number of scans per bin,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,Other,
3,BIO,SNCN,"BIO,IML,MEDS",none,nan,^Scan Counter,,nan,RecPerBin,Number of scans per bin,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,Other,
4,BIO,SNCN,"BIO,IML,MEDS",none,nan,^SNCNTR_&#124;Scans per Bin,,nan,RecPerBin,Number of scans per bin,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,Other,
5,BIO,CRAT,,none,nan,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,lambda CRAT: 42.814*CRAT/10,CNDCST01,Electrical Conductivity ,S/m,,,sea_water_electrical_conductivity,SDN:P01::CNDCST01,Electrical conductivity of the water body by CTD,SDN:P06::UECA,Siemens per metre,,,CNDC,CTDCond,,,,Conductivity
6,BIO,CRAT,,dimensionless&#124;none,nan,nan,,nan,CRAT_XX,Conductivity Ratio,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CRAT,,Conductivity Ratio was calculated by using the following equation: CRAT = Conductivity [S/m] * 10.0 / 42.814,physicalMeasurement,Other,Conductivity
7,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FC_,,nan,CPHLPR01,"Fluorescence, Chelsea Aqua",mg/m^3,Chelsea Technologies Group Aquatracka III fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
8,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FCUVA_,,nan,CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,mg/m^3,Chelsea Technologies Group UV Aquatracka fluorometer,,concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,SDN:P01::CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,CDOM_fluor,,physicalMeasurement,Colored Dissolved Organic Matter,"Fluorometer, Chelsea UV Aquatracka"
9,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FECO_,,nan,CPHLPR01,"Fluorometer, WET Labs ECO-AFL/FL",mg/m^3,Chelsea Technologies Group Aquatracka III fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
