platform_name,platform_owner,platform_type,country_of_origin,ices_platform_codes,wmo_platform_code,call_sign,sdn_platform_urn,dfo_newfoundland_ship_code,comments
"""LAKE MELVILLE""",,,,,,,,17,
"""SENTINAL""",,,,,,,,41,
"""SPECIALS"" ",,,,,,,,15,
"""WHALER""",,,,,,,,40,
A. Needler,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18NE,7907104,CG2683,SDN:C17::18NE,,
A. T. Cameron,,,,,,,,01,
ABCO (Aluminum Boat Company),,,,,,,,,
Adolf Jensen,,,,,,,,,
Alfred Needler,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18NE,7907104,CG2683,SDN:C17::18NE,12,
Amundsen,Canadian Coast Guard,Research Vessel,Canada,18DL,7510846,CGDT,SDN:C17::18DL,,
Anne Harvey,,,,,,,,36,
Aqviq,,,,,,,,62,
Atlantic Clare,,,,,,,,42,
Atlantic Lindsey,,,,,,,,44,
Atlantic Surf,,,,,,,,32,
Atlantis,U.S. Navy,Research Vessel,United States,33AT,9105798,KAQP,SDN:C17::33AT,56,
Baffin,,research vessel,Canada,18BA,,CGCL,SDN:C17::18BA,,
Balder Cabot,,,,,,,,14,
Beluga II,Canadian Coast Guard,self-propelled boad,Canada,18BP,,,SDN:C17::18BP,,
Bernier,,,,,,,,24,
BOUEE OCEANOGRAPHIQUE,,,,,,,,,
Burin bay,,,,,,,,08,
C1196NS ROSBOROUGH,,,,,,,,,
C6-4828,,,,,,,,,
Cap Breton,Canadian Coast Guard,ship,Canada,18BO,,,SDN:C17::18BO,,
Cap Nord,,,,,,,,,
Cape Adair,,,,,,,,28,
Cape Ballard,,,,,,,,48,
Cape Roger,,,,,,,,33,
Capt Jacques Cartier,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18CR,9781841,CFA3098,SDN:C17::18CR,76,
Capt. Jacques Cartier,,,,,,,,76,
CCG206,,,,,,,,27,
Celtic Explorer,,,,,,,,60,
Cindy Elizabeth,,,,,,,,13,
Coriolis II,"institutions: ISMER, UQAM, McGill University, INRS-ETE, MLI-DFO  ",Research Vessel,Canada,18OL,8818570,CGDN,SDN:C17::18OL,,
Cormorant,,,,,,,,23,
Cutter 141,,,,,,,,,
Cygnus,,,,,,,,,
Dalhousie University Zodiac,,,,,,,,,
Dana,Technical University of Denmark,Research Vessel,Denmark,26D4,7912680,OXBH,SDN:C17::26D4,,
Dawson,Unknown,Research Vessel,Canada,18DA,6726802,CGBV,SDN:C17::18DA,18,
Des Groseilliers,Canadian Coast Guard,Research Vessel,Canada,18GO,8006385,CGDX,SDN:C17::18GO,,
Discovery,,,,,,,,55,
DUMMY SHIP -testing-,,,,,,,,99,
E.E. Prince,,,,,,,,16,
E.E.Prince,,,,,,,,,
Earl Grey,Canadian Coast Guard,naval vessel,Canada,18EG,8412340,CG3029,SDN:C17::18EG,,
Edward Cornwallis,,,,,,,,,
Endeavor,National Science Foundation,Research Vessel,United States,32EV,7604300,WCE5063,SDN:C17::32EV,,
Explorer,,,,,,,,34,
Fort Francis,,,,,,,,,
Fugro Discovery,Fugro,Hydrographic Survey Vessel,Panama,PADS,9152882,,SDN:C17::PADS,,
Fundy Spray,HMSC,research vessel,Canada,18FQ,,,SDN:C17::18FQ,,
Gadus Atlantica,,,,,,,,02,
George R. Pearkes,,,,,,,,59,
Gilbert Bay,,,,,,,,54,
Helicopter,,,,,,,,,
