legacy_p_code,accepted_instruments,apply_func,seabird_name,variable_name,long_name,units,sdn_uom_urn,sdn_uom_name,instrument,comments,sdn_parameter_urn,sdn_parameter_name,bodc_alternative_label,definition,standard_name,coverage_content_type
cond,,,c0S/m,CNDCST01,Conductivity,S/m,SDN:P06::UECA,Siemens per metre,,1st sensor,SDN:P01::CNDCST01,Electrical conductivity of the water body by CTD,CTDCond,,sea_water_electrical_conductivity,physicalMeasurement
cond2,,,c1S/m,CNDCST02,"Conductivity, 2",S/m,SDN:P06::UECA,Siemens per metre,,2nd sensor,SDN:P01::CNDCST02,Electrical conductivity of the water body by CTD (sensor 2),CTDCond2,,sea_water_electrical_conductivity,physicalMeasurement
wetCDOM,"WET Labs CDOM",,mg/m^3,CCOMD002,"Fluorescence, Wet Labs CDOM","mg/m^3","SDN:P06::UMMC","Milligrams per cubic metre","WET Labs CDOM", "1st sensor","SDN:P01::CCOMD002","Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ WET Labs FDOM ECO fluorometer",CDOM_fluor_WETLabs,"Quantity or mass of the specified analyte in a unit volume of an unfiltered sample of fresh or salt water.",concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,physicalMeasurement
flor,,,,CPHLPR01,Fluorescence,mg/m^3,SDN:P06::UMMC,Milligrams per cubic metre,,1st sensor,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,chl-a_water_ISfluor,"In-situ fluorometer with either manufacturer, laboratory or sample calibration applied.",mass_concentration_of_chlorophyll_a_in_sea_water,physicalMeasurement
flor,WET Labs ECO-AFL/FL,,flECO-AFL,,"Fluorescence, Wet Labs Eco-Afl/Fl",mg/m^3,SDN:P06::UMMC,Milligrams per cubic metre,WET Labs ECO-AFL/FL,1st sensor,,,,,mass_concentration_of_chlorophyll_a_in_sea_water,physicalMeasurement
flor,Chelsea Aqua 3 Chl Con,,flC,,"Fluorescence, Chelsea Aqua 3 Chl Con",mg/m^3,SDN:P06::UGPL,Micrograms per litre,Chelsea Aqua 3 Chl Con,1st sensor,,,,,mass_concentration_of_chlorophyll_a_in_sea_water,physicalMeasurement
oxy,,,sbeox0ML/L,DOXYSU01,"Oxygen, SBE 43",ml/l,SDN:P06::UMLL,Millilitres per litre,SBE 43,1st sensor,SDN:P01::DOXYSU01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Sea-Bird SBE 43 sensor and no calibration against sample data,WC_dissO2_uncalib,Sea-Bird SBE 43 oxygen sensor with no field calibration against sample data,volume_fraction_of_oxygen_in_sea_water,physicalMeasurement
oxy,,,sbeox0ML/L,DOXYZZ01,"Oxygen, SBE 43",ml/l,SDN:P06::UMLL,Millilitres per litre,SBE 43,1st sensor,SDN:P01::DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,	WC_dissO2_IS,Unspecified type of oxygen sensor with no information on whether it has been calibrated against sample data,volume_fraction_of_oxygen_in_sea_water,physicalMeasurement
oxy2,,,sbeox1ML/L,DOXYSU02,"Oxygen, SBE 43, 2",ml/l,SDN:P06::UMLL,Millilitres per litre,SBE 43,2nd sensor,SDN:P01::DOXYSU02,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Sea-Bird SBE 43 sensor (second sensor) and no calibration against sample data,WC_dissO2_uncalib2,Secondary Sea-Bird SBE 43 oxygen sensor with no field calibration against sample data,volume_fraction_of_oxygen_in_sea_water,physicalMeasurement
oxy2,,,sbeox1ML/L,DOXYZZ02,"Oxygen, SBE 43, 2",ml/l,SDN:P06::UMLL,Millilitres per litre,SBE 43,2nd sensor,SDN:P01::DOXYZZ02,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,WC_dissO2_IS_2,Unspecified type of oxygen sensor with no information on whether it has been calibrated against sample data,volume_fraction_of_oxygen_in_sea_water,physicalMeasurement
