platform_name,platform,platform_owner,platform_type,country_of_origin,platform_id,ices_platform_codes,wmo_platform_code,call_sign,sdn_platform_urn,dfo_nafc_platform_code,dfo_nafc_platform_name,comments
A. Needler,ship,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18NE,18NE,7907104,CG2683,SDN:C17::18NE,12,ned,
A. T. Cameron,ship,,,,,,,,,1,,
ABCO (Aluminum Boat Company),ship,,,,,,,,,,,
Adolf Jensen,ship,,,,,,,,,,,
afap80,,,,,,,,,,80,,nafc short name: afap80
afap81,,,,,,,,,,81,,nafc short name: afap81
afap82,,,,,,,,,,82,,nafc short name: afap82
afap83,,,,,,,,,,83,,nafc short name: afap83
afap84,,,,,,,,,,84,,nafc short name: afap84
afap85,,,,,,,,,,85,,nafc short name: afap85
afap86,,,,,,,,,,86,,nafc short name: afap86
afap89,,,,,,,,,,89,,nafc short name: afap89
Alfred Needler,ship,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18NE,18NE,7907104,CG2683,SDN:C17::18NE,12,ned,
Amundsen,ship,Canadian Coast Guard,Research Vessel,Canada,18DL,18DL,7510846,CGDT,SDN:C17::18DL,,,
Anne Harvey,ship,,,,,,,,,36,har,
aquaculture,,,,,,,,,,70,,nafc short name: aqua
aquaculture2,,,,,,,,,,71,,nafc short name: aqua2
aquaculture3,,,,,,,,,,72,,nafc short name: aqua3
Aqviq,ship,,,,,,,,,62,aqv,
Atlantic Clare,ship,,,,,,,,,42,,
Atlantic Lindsey,ship,,,,,,,,,44,,
Atlantic Surf,ship,,,,,,,,,32,,
Atlantis,ship,U.S. Navy,Research Vessel,United States,33AT,33AT,9105798,KAQP,SDN:C17::33AT,56,atl,
Baffin,ship,,Research Vessel,Canada,18BA,18BA,,CGCL,SDN:C17::18BA,,,
Balder Cabot,ship,,,,,,,,,14,,
Beluga II,ship,Canadian Coast Guard,self-propelled boad,Canada,18BP,18BP,,,SDN:C17::18BP,,,
Bernier,ship,,,,,,,,,24,,
BOUEE OCEANOGRAPHIQUE,ship,,,,,,,,,,,
Burin bay,ship,,,,,,,,,8,,
C1196NS ROSBOROUGH,ship,,,,,,,,,,,
C6-4828,ship,,,,,,,,,,,
Cap Breton,ship,Canadian Coast Guard,ship,Canada,18BO,18BO,,,SDN:C17::18BO,,,
Cap Nord,ship,,,,,,,,,,,
Cape Adair,ship,,,,,,,,,28,,
Cape Ballard,ship,,,,,,,,,48,,
Cape Roger,ship,,,,,,,,,33,rog,
Capt Jacques Cartier,ship,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18CR,18CR,9781841,CFA3098,SDN:C17::18CR,76,car,
Capt. Jacques Cartier,ship,,,,,,,,,76,car,
CCG206,ship,,,,,,,,,27,,
Celtic Explorer,ship,,,,,,,,,60,,
Cindy Elizabeth,ship,,,,,,,,,13,,
Coriolis II,ship,"institutions: ISMER, UQAM, McGill University, INRS-ETE, MLI-DFO  ",Research Vessel,Canada,18OL,18OL,8818570,CGDN,SDN:C17::18OL,,cor,
Cormorant,ship,,,,,,,,,23,,
Cutter 141,ship,,,,,,,,,,,
Cygnus,ship,,,,,,,,,,,
Dalhousie University Zodiac,ship,,,,,,,,,,,
Dana,ship,Technical University of Denmark,Research Vessel,Denmark,26D4,26D4,7912680,OXBH,SDN:C17::26D4,,,
Dawson,ship,Unknown,Research Vessel,Canada,18DA,18DA,6726802,CGBV,SDN:C17::18DA,18,,
Des Groseilliers,ship,Canadian Coast Guard,Research Vessel,Canada,18GO,18GO,8006385,CGDX,SDN:C17::18GO,,,
Discovery,ship,,,,74EQ,74EQ,,,,55,dis,
DUMMY SHIP -testing-,ship,,,,,,,,,99,,
E.E. Prince,ship,,,,,,,,,16,,
E.E.Prince,ship,,,,,,,,,,,
Earl Grey,ship,Canadian Coast Guard,Naval Vessel,Canada,18EG,18EG,8412340,CG3029,SDN:C17::18EG,,,
EcoSciences,,,,,,,,,,66,,nafc short name: ecosci
Edward Cornwallis,ship,,,,,,,,,,,
Endeavor,ship,National Science Foundation,Research Vessel,United States,32EV,32EV,7604300,WCE5063,SDN:C17::32EV,,,
Explorer,ship,,,,,,,,,34,,
Fort Francis,ship,,,,,,,,,,,
french,,,,,,,,,,92,,nafc short name: doc
Fugro Discovery,ship,Fugro,Hydrographic Survey Vessel,Panama,PADS,PADS,9152882,,SDN:C17::PADS,,,
Fundy Spray,ship,HMSC,Research Vessel,Canada,18FQ,18FQ,,,SDN:C17::18FQ,,,
Gadus Atlantica,ship,,,,,,,,,2,,
George R. Pearkes,ship,,,,,,,,,59,per,
Gilbert Bay,ship,,,,,,,,,54,,
Helicopter,helicopter,,,,,,,,,,,
Henry Larsen,ship,Canadian Coast Guard,Vessel of Opportunity,Canada,18HS,18HS,8409329,CGHL,SDN:C17::18HS,37,lar,
Hood,ship,,,,,,,,,25,,
